Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-14,48706.48476640781,50258.8826872495,48415.41015625,48415.41015625,48510715,0.0,0.0
2024-11-15,48803.50889310748,52587.47876752337,48803.50889310748,51908.3046875,46774485,0.0,0.0
2024-11-18,55304.17224702381,55789.296564980155,54236.89874751984,55013.09765625,48095234,0.0,0.0
2024-11-19,54819.049733570166,55789.29840142096,54236.90053285968,54625.0,31539632,0.0,0.0
2024-11-20,54430.95684052893,54819.056354543405,53169.63341998192,53654.7578125,20864667,0.0,0.0
2024-11-21,53266.6504737367,55207.14775875443,53072.60074523493,54722.0234375,19096850,0.0,0.0
2024-11-22,54333.92578125,55013.099853515625,54236.90091378349,54333.92578125,15281543,0.0,0.0
2024-11-25,55692.27022614422,56177.39453125,55013.096198996114,56177.39453125,36237325,0.0,0.0
2024-11-26,56177.39663513079,57147.645281678815,55789.29717651158,56565.49609375,23209405,0.0,0.0
2024-11-27,55983.34813499112,56080.3730017762,54333.925399644766,54625.0,21808387,0.0,0.0
2024-11-28,54333.92511261261,54722.0245777027,53557.72618243243,53848.80078125,20001134,0.0,0.0
2024-11-29,53460.70034305812,53654.75007207103,52199.377104474166,52587.4765625,24513531,0.0,0.0
2024-12-02,52684.50218633396,52781.5270522388,51520.20379547575,52005.328125,22044867,0.0,0.0
2024-12-03,51520.20379547575,52781.5270522388,51520.20379547575,52005.328125,23374603,0.0,0.0
2024-12-04,50452.92961393597,51811.277718926554,50452.92961393597,51520.203125,29004766,0.0,0.0
2024-12-05,51617.22337639664,52781.52164804469,51617.22337639664,52102.34765625,23588277,0.0,0.0
2024-12-06,52296.403390711646,52781.527726432534,51132.10498498152,52490.453125,22861874,0.0,0.0
2024-12-09,51908.310034819755,52975.58369908708,51617.23539911049,51811.28515625,26227680,0.0,0.0
2024-12-10,52878.554036458336,52878.554036458336,52102.355078125,52393.4296875,20783970,0.0,0.0
2024-12-11,52005.33020833333,52587.47942708334,51811.28046875,52393.4296875,14565947,0.0,0.0
2024-12-12,52393.42981328265,54819.051563897585,52296.40494325805,54236.90234375,33476698,0.0,0.0
2024-12-13,54139.874623997326,54624.99894858511,53848.80002924465,54430.94921875,15908823,0.0,0.0
2024-12-16,54625.00222009892,54916.076832284176,53557.72864208633,53945.828125,15277277,0.0,0.0
2024-12-17,53072.60088503229,53557.725207564574,52393.42683348709,52587.4765625,20215230,0.0,0.0
2024-12-18,52490.44955316484,53751.772740209475,52393.42469262295,53266.6484375,13698937,0.0,0.0
2024-12-19,51908.30258356874,52199.37717749529,51520.203125,51520.203125,22481925,0.0,0.0
2024-12-20,51132.105085495285,51520.204554834905,50355.906146816036,51423.1796875,24674774,0.0,0.0
2024-12-23,51811.279818925235,52393.42903037383,51714.25495035046,51908.3046875,13672650,0.0,0.0
